id,date_ms,sym,side,pnl,akk
328,1787649443858,AGIUSDT,Sell,-0.37758,2
329,1787649545399,MINIMAXUSDT,Sell,-0.4056,3
330,1787649602201,AGIUSDT,Sell,-1.13661,0
331,1787649834656,NESAUSDT,Sell,-0.4811,3
332,1787650021338,NESAUSDT,Sell,-1.287,1
333,1787650028350,NESAUSDT,Sell,-3.0369,4
334,1787650053949,AGIUSDT,Sell,-0.41752,2
335,1787650152221,AGIUSDT,Sell,-1.12362,0
336,1787650325450,AGIUSDT,Buy,-0.48506,3
337,1787650620603,AGIUSDT,Sell,-0.38808,2
338,1787650715468,NESAUSDT,Sell,-0.6648,3
339,1787650915438,BBXUSDT,Sell,-0.3978,3
340,1787650965264,GEVUSDT,Sell,-0.40098,3
341,1787651125689,AGIUSDT,Buy,-0.54208,3
342,1787651256250,AGIUSDT,Buy,-2.43144,4
343,1787651334755,ALABUSDT,Sell,-0.392,3
344,1787651461246,AMATUSDT,Sell,-1.1336,0
345,1787651544344,NESAUSDT,Buy,-0.3562,2
346,1787651585090,CRDOUSDT,Sell,-0.4165,3
347,1787651633971,IOSTUSDT,Buy,-0.3675942,2
348,1787651674441,AGIUSDT,Sell,-0.41514,2
349,1787652163087,AGIUSDT,Buy,-1.53384,1
350,1787652169156,AGIUSDT,Buy,-0.64787,3
351,1787652174204,AGIUSDT,Buy,-2.80918,4
352,1787652416877,NESAUSDT,Buy,-0.3836,2
353,1787652554096,AGIUSDT,Sell,-0.6708,2
354,1787653034143,AGIUSDT,Sell,-0.55245,2
355,1787653105756,NESAUSDT,Sell,-0.411,3
356,1787653145346,FWDIUSDT,Sell,-0.4686,3
357,1787653224653,COTIUSDT,Sell,-0.386958,2
358,1787653374403,NESAUSDT,Buy,-0.3562,2
359,1787653493754,FWDIUSDT,Buy,-0.429,2
360,1787653616465,AGIUSDT,Sell,-0.4438,2
361,1787653844652,NESAUSDT,Sell,-0.6028,3
362,1787654344999,AGIUSDT,Buy,-0.43608,3
363,1787654443231,NESAUSDT,Sell,-1.8084,1
364,1787654449206,NESAUSDT,Sell,-0.5808,3
365,1787654454093,NESAUSDT,Sell,-3.836,4
366,1787654462159,NESAUSDT,Buy,4.29,0
367,1787654524736,ARKUSDT,Sell,-0.39483,3
368,1787654817713,NESAUSDT,Buy,-0.364,2
369,1787654881649,NESAUSDT,Buy,-1.3,0
370,1787654993009,AGIUSDT,Buy,-1.58,1
371,1787654999026,AGIUSDT,Buy,-0.62759,3
372,1787655003978,AGIUSDT,Buy,-2.9854,4
373,1787655664849,FORMUSDT,Buy,-0.36972,2
374,1787655684016,AGIUSDT,Sell,-0.38918,2
375,1787656284730,AGIUSDT,Buy,-0.38918,3
376,1787656612605,AGIUSDT,Sell,3.91776,0
377,1787656632351,HUSDT,Buy,3.8934,0
378,1787656674107,NESAUSDT,Buy,-0.405,2
379,1787657388610,AGIUSDT,Sell,-0.4221,2
380,1787657478052,ARKUSDT,Sell,-2.3985,4
381,1787657494639,ARKUSDT,Sell,-1.2546,1
382,1787657669117,NESAUSDT,Sell,-2.376,4
383,1787657985616,NESAUSDT,Sell,-1.35,1
384,1787658006997,AGIUSDT,Sell,-0.59048,2
385,1787658054985,ACEUSDT,Sell,-1.260792,0
386,1787658595693,NESAUSDT,Buy,-0.3654,2
387,1787659063744,ADBEUSDT,Buy,-0.371,2
388,1787659273696,NESAUSDT,Buy,-0.6812,2
389,1787659463681,LSKUSDT,Buy,-0.41268,2
390,1787659481750,LSKUSDT,Buy,-2.21656,0
391,1787659795714,FWDIUSDT,Buy,-0.3953,3
392,1787660873723,NESAUSDT,Buy,-0.4522,2
393,1787661044019,AGIUSDT,Sell,-0.7968,2
394,1787661071358,AGIUSDT,Sell,-1.4674,0
395,1787661605465,GRVTUSDT,Buy,-0.40365,3
396,1787661683613,NESAUSDT,Buy,-0.3497,2
397,1787663283912,NESAUSDT,Buy,-0.3766,2
398,1787663288913,AGIUSDT,Buy,-0.47377,3
399,1787663815601,MNSTUSDT,Buy,-0.3807,2
400,1787663875197,MAUSDT,Buy,-0.3906,3
401,1787664414975,FLYUSDT,Buy,-0.4056,3
402,1787664483831,MARAUSDT,Buy,-0.3916,2
403,1787664504153,BANUSDT,Buy,-0.35838,2
404,1787664508998,FWDIUSDT,Buy,-0.5236,3
405,1787664652683,FWDIUSDT,Buy,-1.2376,1
406,1787664659883,FWDIUSDT,Buy,-2.7263,4
407,1787664672104,FWDIUSDT,Buy,-1.1937,0
408,1787664679072,APPSTOCKUSDT,Sell,-0.4641,3
409,1787664795009,DKNGUSDT,Buy,-0.4004,3
410,1787664901667,NESAUSDT,Buy,-2.025,0
411,1787665461654,HPEUSDT,Sell,-1.11,0
412,1787665633994,DKNGUSDT,Sell,-0.4004,2
413,1787665665314,AGIUSDT,Buy,-0.50974,3
414,1787665670280,AGIUSDT,Buy,-2.42913,4
415,1787665745591,CRDOUSDT,Sell,-0.4352,3
416,1787665783148,AGIUSDT,Buy,-1.20714,1
417,1787666374481,AGIUSDT,Sell,-0.3729,2
418,1787666572472,FLYUSDT,Buy,-1.3351,1
419,1787666579527,FLYUSDT,Buy,-2.8054,4
420,1787666852820,MOVEUSDT,Sell,-1.438206,1
421,1787666859853,MOVEUSDT,Sell,-2.88686,4
422,1787666914542,AGIUSDT,Sell,-0.41114,2
423,1787667303855,ALABUSDT,Buy,-0.3696,2
424,1787667813739,CRDOUSDT,Buy,-0.3519,2
425,1787668012160,BOTUSDT,Sell,-1.4006,1
426,1787668019540,BOTUSDT,Sell,-2.7416,4
427,1787668775238,1000BTTUSDT,Buy,-0.4065,3
428,1787668893429,AGIUSDT,Sell,-0.47596,2
429,1787668992121,AGIUSDT,Sell,-1.26555,0
430,1787669574302,AGIUSDT,Sell,-0.3738,2
431,1787669993731,AGIUSDT,Sell,-0.64993,2
432,1787670055219,AGIUSDT,Buy,-0.55447,3
433,1787670141595,AGIUSDT,Sell,-1.58865,0
434,1787670434211,AGIUSDT,Sell,-0.91448,2
435,1787670504735,AGIUSDT,Buy,-0.42032,3
436,1787671084065,AGIUSDT,Sell,-0.36288,2
437,1787671165094,AGIUSDT,Buy,-0.43776,3
438,1787671213025,AGIUSDT,Buy,-1.3348,1
439,1787671220028,AGIUSDT,Buy,-2.51277,4
440,1787671355495,1000BTTUSDT,Buy,-0.4077,3
441,1787671612048,BNCUSDT,Sell,-1.0965,0
442,1787671633619,AGIUSDT,Sell,-0.42476,2
443,1787671755268,AGIUSDT,Buy,-0.50512,3
444,1787672374051,AGIUSDT,Sell,-0.42194,2
445,1787672822163,AGIUSDT,Sell,-1.28936,0
446,1787672828210,AGIUSDT,Sell,-0.65726,2
447,1787673545141,AGIUSDT,Buy,-0.4687,3
448,1787674264770,AGIUSDT,Buy,-0.56304,3
449,1787674286299,AGIUSDT,Buy,-2.77114,4
450,1787674302466,AGIUSDT,Buy,-1.4824,1
451,1787674784996,AGIUSDT,Buy,-0.42675,3
452,1787674874783,AGIUSDT,Sell,-0.46658,2
453,1787675304143,AGIUSDT,Sell,-0.46576,2
454,1787675893849,AGIUSDT,Sell,-0.3679,2
455,1787676203952,DOSUSDT,Buy,-0.4,2
456,1787676484265,AGIUSDT,Sell,-0.39405,2
457,1787676645207,BICOUSDT,Buy,-0.4705875,3
458,1787677018522,AGIUSDT,Sell,-1.7549,0
459,1787677025140,AGIUSDT,Sell,-0.62951,2
460,1787677185496,AGIUSDT,Buy,-0.41791,3
461,1787677664179,AGIUSDT,Sell,-0.40736,2
462,1787678213899,AGIUSDT,Buy,-1.38598,1
463,1787678220203,AGIUSDT,Buy,-0.95408,3
464,1787678225049,AGIUSDT,Buy,-3.10287,4
465,1787678364122,AGIUSDT,Sell,-0.39931,2
466,1787678903931,AGIUSDT,Sell,-0.4251,2
467,1787679514247,AGIUSDT,Sell,-0.4158,2
468,1787679723928,GEVUSDT,Buy,-0.35574,2
469,1787680103821,AGIUSDT,Sell,-0.42687,2
470,1787680121988,AGIUSDT,Sell,-1.12024,0
471,1787680663452,AGIUSDT,Sell,-0.34272,2
472,1787680815311,ARIAUSDT,Sell,-0.4188,3
473,1787681345313,ACXUSDT,Buy,-0.45449,3
474,1787681362438,AGIUSDT,Buy,-1.48087,1
475,1787681406171,AGIUSDT,Buy,-2.5531,4
476,1787681644418,ACXUSDT,Sell,-0.50284,2
477,1787681701573,DOSUSDT,Buy,-1.12,0
478,1787681708785,AGIUSDT,Buy,-0.40256,3
479,1787681943497,AGIUSDT,Sell,-0.42588,2
480,1787682285316,AGIUSDT,Buy,-0.41025,3
481,1787682433967,AGIUSDT,Sell,-0.35658,2
482,1787682544611,ACXUSDT,Buy,-0.43695,3
483,1787683043946,AGIUSDT,Sell,-0.34524,2
484,1787683675480,JSTUSDT,Buy,-0.392,3
485,1787683945621,AGIUSDT,Buy,-0.51708,3
486,1787684225235,1000RATSUSDT,Sell,-0.405,3
487,1787684824639,AMCUSDT,Buy,-0.3874,2
488,1787684863904,ACXUSDT,Sell,-0.33985,2
489,1787685243631,AGIUSDT,Sell,-0.48928,2
490,1787685503866,AGIUSDT,Sell,-0.50414,2
